number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
1,23,0,50,20,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,99.7233
2,23,0,50,40,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,91.0181
3,23,0,50,80,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,82.073
4,23,0,50,160,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,72.6116
5,23,0,50,320,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,61.2689
6,23,0,50,20,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,98.1174
7,23,0,50,40,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,90.2361
8,23,0,50,80,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,77.2176
9,23,0,50,160,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,71.3146
10,23,0,50,320,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,52.5207
11,23,0,50,20,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,76.2805
12,23,0,50,40,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,43.6874
13,23,0,50,80,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,34.5965
14,23,0,50,160,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,40.7012
15,23,0,50,320,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,30.2211
16,23,0,50,20,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,96.5129
17,23,0,50,40,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,67.2707
18,23,0,50,80,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,60.5986
19,23,0,50,16,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,52.3888
20,23,0,50,320,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,41.0763
21,23,0,50,20,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,74.025
22,23,0,50,40,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,73.662
23,23,0,50,80,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,46.349
24,23,0,50,160,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,31.4199
25,23,0,50,320,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,26.2789
26,23,0,50,20,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,85.1989
27,23,0,50,40,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,81.9606
28,23,0,50,80,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,42.2689
29,23,0,50,160,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,34.5477
30,23,0,50,320,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,32.5942
31,23,0,50,20,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,84.8924
32,23,0,50,40,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,60.3393
33,23,0,50,80,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,18.435
34,23,0,50,160,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,14.6518
35,23,0,50,320,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,14.5961
36,23,0,50,20,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,73.7924
37,23,0,50,40,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,54.6956
38,23,0,50,80,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,32.004
39,23,0,50,160,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,21.029
40,23,0,50,320,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,21.1862
41,6,0,300,2,5.3,8,1,1,1,7,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,97.381
42,6,0,300,4,5.3,8,1,1,1,7,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,107.3589
43,6,0,300,8,5.3,8,1,1,1,7,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,99.9816
44,6,0,300,16,5.3,8,1,1,1,7,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,97.7868
45,6,0,300,32,5.3,8,1,1,1,7,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,96.3113
46,6,0,300,2,5.3,8,1,1,1,7,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,95.1499
47,6,0,300,4,5.3,8,1,1,1,7,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,98.947
48,6,0,300,8,5.3,8,1,1,1,7,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,89.0874
49,6,0,300,16,5.3,8,1,1,1,7,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,97.4792
50,6,0,300,32,5.3,8,1,1,1,7,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,105.3287
51,6,0,300,2,5.3,8,1,1,1,7,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,95.5396
52,6,0,300,4,5.3,8,1,1,1,7,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,84.1996
53,6,0,300,8,5.3,8,1,1,1,7,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,124.0692
54,6,0,300,16,5.3,8,1,1,1,7,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,105.3959
55,6,0,300,32,5.3,8,1,1,1,7,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,119.8356
56,6,0,300,2,5.3,8,1,1,1,7,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,100.4393
57,6,0,300,4,5.3,8,1,1,1,7,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,91.9275
58,6,0,300,8,5.3,8,1,1,1,7,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,99.2037
59,6,0,300,16,5.3,8,1,1,1,7,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,100.8512
60,6,0,300,32,5.3,8,1,1,1,7,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,95.8265
61,6,0,300,2,5.3,2,1,1,1,2,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,87.6752
62,6,0,300,4,5.3,2,1,1,1,2,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,81.6056
63,6,0,300,8,5.3,2,1,1,1,2,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,86.9914
64,6,0,300,16,5.3,2,1,1,1,2,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,99.7383
65,6,0,300,32,5.3,2,1,1,1,2,24,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,85.8855
66,6,0,300,2,5.3,2,1,1,1,2,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,101.6191
67,6,0,300,4,5.3,2,1,1,1,2,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,93.3298
68,6,0,300,8,5.3,2,1,1,1,2,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,89.8451
69,6,0,300,16,5.3,2,1,1,1,2,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,101.8127
70,6,0,300,32,5.3,2,1,1,1,2,24,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,92.8194
71,6,0,300,2,5.3,2,1,1,1,2,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,101.1952
72,6,0,300,4,5.3,2,1,1,1,2,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,101.337
73,6,0,300,8,5.3,2,1,1,1,2,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,95.9331
74,6,0,300,16,5.3,2,1,1,1,2,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,101.0484
75,6,0,300,32,5.3,2,1,1,1,2,48,8,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,104.1023
76,6,0,300,2,5.3,2,1,1,1,2,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,89.4518
77,6,0,300,4,5.3,2,1,1,1,2,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,87.6095
78,6,0,300,8,5.3,2,1,1,1,2,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,88.9688
79,6,0,300,16,5.3,2,1,1,1,2,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,96.2368
80,6,0,300,32,5.3,2,1,1,1,2,48,2,2,2,1,1,1,1.96,1.96,0.510204082,1,128.409,1,2,93.552
81,10,0,20,5,-10.5,8,1,1,1,7,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,98.6167
82,10,0,20,10,-10.5,8,1,1,1,7,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,94.135
83,10,0,20,20,-10.5,8,1,1,1,7,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,98.9118
84,10,0,20,40,-10.5,8,1,1,1,7,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,87.8643
85,10,0,20,80,-10.5,8,1,1,1,7,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,90.0221
86,10,0,20,5,-10.5,8,1,1,1,7,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,85.7052
87,10,0,20,10,-10.5,8,1,1,1,7,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,93.9375
88,10,0,20,20,-10.5,8,1,1,1,7,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,91.6401
89,10,0,20,40,-10.5,8,1,1,1,7,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,106.3178
90,10,0,20,80,-10.5,8,1,1,1,7,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,93.1078
91,10,0,20,5,-10.5,8,1,1,1,7,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,104.7061
92,10,0,20,10,-10.5,8,1,1,1,7,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,97.4296
93,10,0,20,20,-10.5,8,1,1,1,7,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,119.9112
94,10,0,20,40,-10.5,8,1,1,1,7,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,100.7277
95,10,0,20,80,-10.5,8,1,1,1,7,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,103.1185
96,10,0,20,5,-10.5,8,1,1,1,7,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,86.4909
97,10,0,20,10,-10.5,8,1,1,1,7,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,90.1428
98,10,0,20,20,-10.5,8,1,1,1,7,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,93.1631
99,10,0,20,40,-10.5,8,1,1,1,7,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,82.894
100,10,0,20,80,-10.5,8,1,1,1,7,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,100.9885
101,10,0,20,5,-10.5,2,1,1,1,2,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,84.6699
102,10,0,20,10,-10.5,2,1,1,1,2,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,87.1265
103,10,0,20,20,-10.5,2,1,1,1,2,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,77.9504
104,10,0,20,40,-10.5,2,1,1,1,2,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,84.0621
105,10,0,20,80,-10.5,2,1,1,1,2,24,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,84.9992
106,10,0,20,5,-10.5,2,1,1,1,2,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,97.3601
107,10,0,20,10,-10.5,2,1,1,1,2,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,89.8979
108,10,0,20,20,-10.5,2,1,1,1,2,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,95.3889
109,10,0,20,40,-10.5,2,1,1,1,2,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,95.5297
110,10,0,20,80,-10.5,2,1,1,1,2,24,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,84.8469
111,10,0,20,5,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,99.3213
112,10,0,20,10,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,100.5014
113,10,0,20,20,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,103.4439
114,10,0,20,40,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,99.6303
115,10,0,20,80,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,97.493
116,10,0,20,5,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,119.5237
117,10,0,20,10,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,92.9005
118,10,0,20,20,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,87.6432
119,10,0,20,40,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,93.4734
120,10,0,20,80,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,90.4291
